code,Genus,Species,Life form,Nativity status,Longevity,Size,Regen. Strategy,Functional Type,Habit,LifeForm,NatStatus,Longevity,Size,RegenStrat,FXGroup
VIPUV2,Viola,purpurea,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ZIPA2,Zigadenus,paniculatus,forb,native,perennial,,,forb.native.perennial..,PFO,FO,NAT,P,,,FO.NAT.P
ACNE9,Achnatherum,nelsonii,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
ACTH7,Achnatherum,thurberianum,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
ELEL5,Elymus,elymoides,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
FEID,Festuca,idahoensis,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
KOMA,Koeleria,macrantha,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
LECI4,Leymus,cinereus,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
MEBU,Melica,bulbosa,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
PSSP6,Pseudoroegneria,spicata,graminoid,native,perennial,Large,,graminoid.native.perennial.Large.,PGR,GR,NAT,P,LG,,GR.NAT.P.LG.
CADO2,Carex,douglassai,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
EQLA,Equisetum,laevigatum,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
POSE,Poa,secunda,graminoid,native,perennial,Small,,graminoid.native.perennial.Small.,PGR,GR,NAT,P,SM,,GR.NAT.P.SM.
ARAR8,Artemisia,arbuscula,shrub,native,perennial,,Seed,shrub.native.perennial..Seed,PSH,SH,NAT,P,,SE,SH.NAT.P.SE
ARTRV,Artemisia,tridentata,shrub,native,perennial,,Seed,shrub.native.perennial..Seed,PSH,SH,NAT,P,,SE,SH.NAT.P.SE
CHVI8,Chrysothamnus,viscidiflorus,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
ERNA10,Ericameria,nauseosa,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
PUTR2,Purshia,tridentata,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
TECA2,Tetradymia,canescens,shrub,native,perennial,,Sprout,shrub.native.perennial..Sprout,PSH,SH,NAT,P,,SP,SH.NAT.P.SP
IRIS,Iris,sp.,forb,unk,perennial,,,forb.unk.perennial..,PFO,FO,Unk,P,,,FO.Unk.P
DF,,,forb,,,,,,FO,FO,,,,,
DG,,,graminoid,,,,,,GR,GR,,,,,
DS,,,shrub,,,,,,SH,SH,,,,,
UNK100,,,,,,,,,,,,,,,
WL,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,
